0|\N|\N|\N|\N|\N|\N|\N|\N|\N|\N|1|\N|\N
1|172.25.124.244|197197|1|sup-bootdisk|Supervisor's Boot Disk|512021490|1648|512025146|0|\N|1|1899-12-31|2199-12-31
2|172.25.124.244|197198|1|disk1|Disk 1 Flash|512059346|7332|512065329|0|\N|1|1899-12-31|2199-12-31
3|172.25.124.244|197199|1|disk0|Disk 0 Flash|1316|7110|1594|0|\N|1|1899-12-31|2199-12-31
4|172.25.124.244|197200|1|bootflash|Boot Flash|65533211|433|65535866|0|\N|1|1899-12-31|2199-12-31
5|172.25.124.244|197201|2|disk0|Disk 0 Flash|3025|2128|1397|0|\N|1|1899-12-31|2199-12-31
6|172.25.124.244|197202|2|disk1|Disk 1 Flash|512072265|1266|512066094|0|\N|1|1899-12-31|2199-12-31
7|172.25.124.244|197203|2|bootflash|Boot Flash|65526294|12|65527602|0|\N|1|1899-12-31|2199-12-31
8|172.25.124.244|197204|2|sup-bootdisk|Supervisor's Boot Disk|512019588|1988|512021659|0|\N|1|1899-12-31|2199-12-31
9|172.25.124.244|197205|3|bootflash|Boot Flash|65535749|602|65535816|0|\N|1|1899-12-31|2199-12-31
23|172.25.124.244|197220|9|sup-bootdisk|Supervisor's Boot Disk|512023706|11|512024503|0|\N|1|1899-12-31|2199-12-31
24|172.25.124.244|197221|10|bootflash|Boot Flash|65536033|565|65536165|0|\N|1|1899-12-31|2199-12-31
36|172.25.124.244|197236|13|Unknown|Flash Disk 0|2242871296|2|2242871296|0|\N|1|1899-12-31|2199-12-31
37|172.25.124.244|197237|13|Unknown|Hard disk|3758096384|3|3758096384|0|\N|1|1899-12-31|2199-12-31
38|172.25.124.244|197238|13|Unknown|Flash Disk 1|2242871296|2|2242871296|0|\N|1|1899-12-31|2199-12-31
39|172.25.124.244|197241|17|flash|System flash|16777216|1|100663296|0|\N|1|1899-12-31|2199-12-31
40|172.25.124.244|197242|18|flash|flash device on switch 1|57931776|1|57931776|0|\N|1|1899-12-31|2199-12-31
25|172.25.124.244|197222|10|disk1|Disk 1 Flash|512073411|602|512073185|0|\N|1|1899-12-31|2199-12-31
26|172.25.124.244|197223|10|disk0|Disk 0 Flash|306|136|29|0|\N|1|1899-12-31|2199-12-31
27|172.25.124.244|197224|10|sup-bootdisk|Supervisor's Boot Disk|512023949|377|512025187|0|\N|1|1899-12-31|2199-12-31
31|172.25.124.244|197228|11|bootflash|Boot Flash|65535833|1153|65535630|0|\N|1|1899-12-31|2199-12-31
32|172.25.124.244|197229|12|sup-bootdisk|Supervisor's Boot Disk|512023990|530|512025428|0|\N|1|1899-12-31|2199-12-31
10|172.25.124.244|197206|3|disk1|Disk 1 Flash|512072835|210|512073214|0|\N|1|1899-12-31|2199-12-31
41|172.25.124.244|197207|3|disk0|Disk 0 Flash|480|155|5|0|\N|1|1899-12-31|2199-12-31
11|172.25.124.244|197208|3|sup-bootdisk|Supervisor's Boot Disk|512024215|316|512024643|0|\N|1|1899-12-31|2199-12-31
12|172.25.124.244|197209|4|bootflash|Boot Flash|1339387052|11375|1339399267|0|\N|1|1899-12-31|2199-12-31
13|172.25.124.244|197210|5|flash|System flash|16752112|5817|100647897|0|\N|1|1899-12-31|2199-12-31
14|172.25.124.244|197211|6|flash|flash device on switch 1|57915172|5644|57911830|0|\N|1|1899-12-31|2199-12-31
15|172.25.124.244|197212|7|flash|flash device on switch 1|57927578|0|57923802|0|\N|1|1899-12-31|2199-12-31
16|172.25.124.244|197213|8|sup-bootdisk|Supervisor's Boot Disk|512023907|985|512024928|0|\N|1|1899-12-31|2199-12-31
17|172.25.124.244|197214|8|disk1|Disk 1 Flash|512074079|376|512074097|0|\N|1|1899-12-31|2199-12-31
18|172.25.124.244|197215|8|disk0|Disk 0 Flash|679|0|175|0|\N|1|1899-12-31|2199-12-31
19|172.25.124.244|197216|8|bootflash|Boot Flash|65535948|661|65537026|0|\N|1|1899-12-31|2199-12-31
20|172.25.124.244|197217|9|bootflash|Boot Flash|65535748|0|65535668|0|\N|1|1899-12-31|2199-12-31
21|172.25.124.244|197218|9|disk0|Disk 0 Flash|94|561|342|0|\N|1|1899-12-31|2199-12-31
22|172.25.124.244|197219|9|disk1|Disk 1 Flash|512074871|228|512072878|0|\N|1|1899-12-31|2199-12-31
28|172.25.124.244|197225|11|sup-bootdisk|Supervisor's Boot Disk|512024665|67|512024079|0|\N|1|1899-12-31|2199-12-31
29|172.25.124.244|197226|11|disk1|Disk 1 Flash|512073514|115|512073895|0|\N|1|1899-12-31|2199-12-31
30|172.25.124.244|197227|11|disk0|Disk 0 Flash|121|80|81|0|\N|1|1899-12-31|2199-12-31
33|172.25.124.244|197230|12|disk0|Disk 0 Flash|192|550|425|0|\N|1|1899-12-31|2199-12-31
34|172.25.124.244|197231|12|disk1|Disk 1 Flash|512074408|827|512073502|0|\N|1|1899-12-31|2199-12-31
35|172.25.124.244|197232|12|bootflash|Boot Flash|65536873|451|65536812|0|\N|1|1899-12-31|2199-12-31
42|172.25.124.244|9476471|19|bootflash|Boot Flash|1339387242|4310|1339421350|0|\N|1|1899-12-31|2199-12-31
